"# SETFOS, Semiconducting Thin Film Optics Simulator",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Parameter file:    C:\Users\Deniz\Documents\Setfos\workspace\PoSiT.parx,,,,,,,,,,,,,,,,,
# Host name:         DESKTOP-H9RHCC3,,,,,,,,,,,,,,,,,
# Operating system:  Windows_NT,,,,,,,,,,,,,,,,,
# User:              Deniz,,,,,,,,,,,,,,,,,
# Time of execution: Wed Aug 19 06:55:13 2020,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# CPU time elapsed: 30.13 s,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Wavelength(nm),R(),T(),A(),R.s(),T.s(),A.s(),R.p(),T.p(),A.p(),haze_ref(),A_unpol(),ITO_Top.A(),SnOx.A(),PSK.A(),HTL.A(),ITO_Bot.A(),Si_2.A()
1.05E+03,3.50E-02,1.96E-04,9.65E-01,3.50E-02,1.96E-04,9.65E-01,3.50E-02,1.96E-04,9.65E-01,1.00E+00,9.65E-01,3.32E-02,1.63E-03,0.00E+00,2.08E-03,3.74E-03,9.24E-01
1.07E+03,4.69E-02,7.11E-04,9.52E-01,4.69E-02,7.11E-04,9.52E-01,4.69E-02,7.11E-04,9.52E-01,1.00E+00,9.52E-01,2.55E-02,1.69E-03,0.00E+00,1.92E-03,2.44E-03,9.21E-01
1.08E+03,5.80E-02,2.31E-03,9.40E-01,5.80E-02,2.31E-03,9.40E-01,5.80E-02,2.31E-03,9.40E-01,1.00E+00,9.40E-01,4.33E-02,1.73E-03,0.00E+00,1.42E-03,2.56E-03,8.91E-01
1.10E+03,6.81E-02,8.51E-03,9.23E-01,6.81E-02,8.51E-03,9.23E-01,6.81E-02,8.51E-03,9.23E-01,1.00E+00,9.23E-01,2.52E-02,1.86E-03,0.00E+00,1.46E-03,1.55E-03,8.93E-01
1.11E+03,8.18E-02,3.21E-02,8.86E-01,8.18E-02,3.21E-02,8.86E-01,8.18E-02,3.21E-02,8.86E-01,9.99E-01,8.86E-01,3.06E-02,2.27E-03,0.00E+00,2.57E-03,4.02E-03,8.47E-01
1.13E+03,2.43E-01,2.56E-01,5.02E-01,2.43E-01,2.56E-01,5.02E-01,2.43E-01,2.56E-01,5.02E-01,9.92E-01,5.02E-01,2.91E-01,1.12E-02,0.00E+00,3.18E-02,1.08E-01,6.00E-02
1.14E+03,2.83E-01,3.02E-01,4.14E-01,2.83E-01,3.02E-01,4.14E-01,2.83E-01,3.02E-01,4.14E-01,9.92E-01,4.14E-01,2.20E-01,1.94E-02,1.63E-16,4.68E-02,1.28E-01,0.00E+00
1.16E+03,2.74E-01,2.92E-01,4.34E-01,2.74E-01,2.92E-01,4.34E-01,2.74E-01,2.92E-01,4.34E-01,9.92E-01,4.34E-01,2.37E-01,1.91E-02,1.35E-16,4.38E-02,1.34E-01,0.00E+00
1.17E+03,2.54E-01,2.73E-01,4.73E-01,2.54E-01,2.73E-01,4.73E-01,2.54E-01,2.73E-01,4.73E-01,9.93E-01,4.73E-01,2.66E-01,1.90E-02,9.42E-17,4.15E-02,1.46E-01,0.00E+00
1.19E+03,2.60E-01,2.81E-01,4.60E-01,2.60E-01,2.81E-01,4.60E-01,2.60E-01,2.81E-01,4.60E-01,9.93E-01,4.60E-01,2.54E-01,2.17E-02,3.37E-16,4.64E-02,1.37E-01,0.00E+00
1.20E+03,2.28E-01,2.48E-01,5.24E-01,2.28E-01,2.48E-01,5.24E-01,2.28E-01,2.48E-01,5.24E-01,9.93E-01,5.24E-01,3.04E-01,1.90E-02,2.72E-17,3.96E-02,1.61E-01,0.00E+00
