,wl,power
583,883,0.7165861687812248
584,884,0.7202301742121278
585,885,0.729592533210196
586,886,0.7019307941867433
587,887,0.7050200204931747
588,888,0.7147449495626081
589,889,0.7249314904084321
590,890,0.7173531192658077
591,891,0.7194809360294062
592,892,0.7068703022971724
593,893,0.6798261137268231
594,894,0.6633060819302674
595,895,0.6344627818573283
596,896,0.5951749381119383
597,897,0.5200120503413383
598,898,0.5612130026973977
599,899,0.42936859671196115
600,900,0.5815759851043479
601,901,0.4697657500522572
602,902,0.5239822966342108
603,903,0.5409203444965761
604,904,0.6637772753826982
605,905,0.6427853889087999
606,906,0.6107227512570466
607,907,0.5033108084710484
608,908,0.5145750988324682
609,909,0.5562981120320689
610,910,0.4939166033278599
611,911,0.5288229203869255
612,912,0.5459277775465418
613,913,0.4984683277748877
614,914,0.4975531752446765
615,915,0.5393385045552794
616,916,0.4588210594585428
617,917,0.5817939928856075
618,918,0.4727773045062217
619,919,0.5899186851988445
620,920,0.5948470844526692
621,921,0.6245760308353386
622,922,0.5609586571260793
623,923,0.5974532770329515
624,924,0.5791592852827707
625,925,0.571377491688733
626,926,0.5656727749750414
627,927,0.6339351413472045
628,928,0.47519724183750006
629,929,0.4446704415670138
630,930,0.3488784627135416
631,931,0.33070445051606046
632,932,0.24336573301636286
633,933,0.20111986505742158
634,934,0.11652687976433176
635,935,0.20344376354641575
636,936,0.13103346020263473
637,937,0.13273966225005987
638,938,0.16310720363611916
639,939,0.3246395862363064
640,940,0.3843464658451397
641,941,0.30326829271418293
642,942,0.33077098016684076
643,943,0.22735006929063187
644,944,0.2336448690380202
645,945,0.3013049957773596
646,946,0.15939723054902763
647,947,0.3042545905743453
648,948,0.22503438381385324
649,949,0.40572937029534617
650,950,0.12106461055708835
651,951,0.39807720699187893
652,952,0.2214607815366185
653,953,0.28322157195936415
654,954,0.34985153541343733
655,955,0.2816639064956221
656,956,0.2711858176529445
657,957,0.2238275091119738
658,958,0.3815425958483858
659,959,0.3096588448478659
660,960,0.34870246384500003
661,961,0.3826049010300814
662,962,0.3667262668251678
663,963,0.41956647408131015
664,964,0.3812636990762173
665,965,0.4190876492708088
666,966,0.4185595970818914
667,967,0.41857115683330665
668,968,0.543687664686109
669,969,0.5725434363780646
670,970,0.5298478952854082
671,971,0.5965176432185664
672,972,0.5749003515600635
673,973,0.5073643922441838
674,974,0.4815867536887623
675,975,0.49412979552982655
676,976,0.4794123809644502
677,977,0.5357522577947158
678,978,0.5163938697317404
679,979,0.5361682360893917
680,980,0.5084462930261466
681,981,0.6003179307225585
682,982,0.5829255389948467
683,983,0.563537403712495
684,984,0.6218868258972289
685,985,0.5809001589068198
686,986,0.6343040879241336
687,987,0.6250758845550249
688,988,0.6216879257604069
689,989,0.6344711024388408
690,990,0.6207950548994118
691,991,0.6394217138340872
692,992,0.6377947798067148
693,993,0.626626075760395
694,994,0.6414328930123053
695,995,0.6399479986344973
696,996,0.637963508588783
697,997,0.6306804328085716
698,998,0.6304835264084211
699,999,0.6307467543347368
700,1000,0.6284789846099925
701,1001,0.6367523043671354
702,1002,0.6232345871414734
703,1003,0.6291279874113754
704,1004,0.6200629093133084
705,1005,0.5847720471004461
706,1006,0.6115508887755554
707,1007,0.6248178400383333
708,1008,0.624620591765625
709,1009,0.6188847539625
710,1010,0.61877704633125
711,1011,0.6222833582648352
712,1012,0.6191879313642857
713,1013,0.6185450829445055
714,1014,0.6214815611300364
715,1015,0.6109641574206909
716,1016,0.6139252513267753
717,1017,0.607323070623442
718,1018,0.6169287730449999
719,1019,0.5951878501332375
720,1020,0.6042324855585611
721,1021,0.6068932610395684
722,1022,0.5967042857207143
723,1023,0.601581795391143
724,1024,0.5979085886447143
725,1025,0.6040950941993571
726,1026,0.6032305395780001
727,1027,0.6005112264525001
728,1028,0.6013214910475264
729,1029,0.5948744807758304
730,1030,0.5986928104376761
731,1031,0.5960692158287325
732,1032,0.5966536568190844
733,1033,0.5866088506938947
734,1034,0.5902319076063157
