wavelength	n	k
804.751	1.41932	0.000424
808.283	1.419294	0.000422
811.832	1.419268	0.00042
815.396	1.419243	0.000418
818.975	1.419217	0.000416
822.57	1.419192	0.000414
826.181	1.419167	0.000412
829.808	1.419142	0.000411
833.451	1.419118	0.000409
837.11	1.419094	0.000407
840.785	1.41907	0.000405
844.476	1.419046	0.000403
848.183	1.419022	0.000401
851.906	1.418998	0.0004
855.646	1.418975	0.000398
859.402	1.418952	0.000396
863.175	1.418929	0.000395
866.964	1.418907	0.000393
870.77	1.418884	0.000391
874.593	1.418862	0.000389
878.432	1.41884	0.000388
882.288	1.418818	0.000386
886.161	1.418796	0.000384
890.052	1.418775	0.000382
893.959	1.418753	0.000381
897.883	1.418732	0.00038
901.825	1.418712	0.000378
905.784	1.418691	0.000376
909.76	1.418671	0.000374
913.754	1.41865	0.000373
917.765	1.41863	0.000371
921.794	1.41861	0.000369
925.841	1.41859	0.000367
929.905	1.41857	0.000366
933.987	1.418551	0.000365
938.087	1.418532	0.000363
942.205	1.418513	0.000361
946.342	1.418494	0.00036
950.496	1.418475	0.000358
954.669	1.418457	0.000356
958.859	1.418438	0.000355
963.069	1.41842	0.000353
967.296	1.418401	0.000351
971.543	1.418383	0.000351
975.808	1.418366	0.000349
980.092	1.418348	0.000347
984.394	1.418331	0.000346
988.715	1.418314	0.000344
993.056	1.418296	0.000343
997.415	1.418279	0.000341
1001.79	1.418262	0.000339
1006.19	1.418246	0.000338
1010.61	1.418229	0.000336
1015.05	1.418212	0.000336
1019.5	1.418196	0.000334
1023.98	1.41818	0.000333
1028.47	1.418164	0.000331
1032.99	1.418149	0.000329
1037.52	1.418133	0.000328
1042.08	1.418117	0.000326
1046.65	1.418102	0.000325
1051.25	1.418086	0.000323
1055.86	1.418071	0.000322
1060.5	1.418056	0.000321
1065.15	1.418041	0.00032
1069.83	1.418027	0.000318
1074.52	1.418012	0.000317
1079.24	1.417998	0.000315
1083.98	1.417983	0.000314
1088.74	1.417969	0.000312
1093.52	1.417955	0.000311
1098.32	1.417941	0.000309
1103.14	1.417927	0.000308
1107.98	1.417913	0.000306
1112.84	1.417899	0.000306
1117.73	1.417886	0.000305
1122.64	1.417872	0.000303
1127.56	1.417859	0.000302
1132.51	1.417846	0.0003
1137.49	1.417833	0.000299
1142.48	1.41782	0.000298
1147.5	1.417807	0.000296
1152.53	1.417795	0.000295
1157.59	1.417782	0.000293
1162.67	1.417769	0.000292
1167.78	1.417757	0.000292
1172.9	1.417745	0.00029
1178.05	1.417733	0.000289
1183.22	1.417721	0.000288
1188.42	1.417709	0.000286
1193.64	1.417697	0.000285
1198.88	1.417685	0.000284
1204.14	1.417674	0.000282
1209.42	1.417662	0.000281
1214.73	1.41765	0.00028
1220.07	1.417639	0.000278
1225.42	1.417628	0.000278
1230.8	1.417617	0.000277
1236.21	1.417606	0.000275
1241.63	1.417595	0.000274
1247.08	1.417584	0.000273
1252.56	1.417574	0.000271
1258.06	1.417563	0.00027
1263.58	1.417552	0.000269
1269.13	1.417542	0.000268
1274.7	1.417531	0.000266
1280.29	1.417521	0.000265
1285.91	1.417511	0.000264
1291.56	1.4175	0.000263
1297.23	1.41749	0.000262
1302.92	1.417481	0.000261
1308.64	1.417471	0.00026
1314.39	1.417461	0.000259
1320.16	1.417452	0.000258
1325.95	1.417442	0.000256
1331.77	1.417433	0.000255
1337.62	1.417423	0.000254
1343.49	1.417414	0.000253
1349.39	1.417405	0.000252
1355.31	1.417395	0.00025
1361.26	1.417386	0.000249
1367.24	1.417377	0.000249
1373.24	1.417368	0.000248
1379.27	1.41736	0.000247
1385.32	1.417351	0.000246
1391.41	1.417342	0.000244
1397.51	1.417334	0.000243
1403.65	1.417325	0.000242
1409.81	1.417317	0.000241
1416	1.417308	0.00024
1422.22	1.4173	0.000239
1428.46	1.417292	0.000238
1434.73	1.417283	0.000236
1441.03	1.417275	0.000235
1447.35	1.417267	0.000235
1453.71	1.417259	0.000234
1460.09	1.417251	0.000233
1466.5	1.417244	0.000232
1472.94	1.417236	0.000231
1479.4	1.417228	0.00023
1485.9	1.417221	0.000229
1492.42	1.417213	0.000228
1498.97	1.417206	0.000227
1505.55	1.417198	0.000225
1512.16	1.417191	0.000224
1518.8	1.417184	0.000223
1525.47	1.417176	0.000222
1532.16	1.417169	0.000221
1538.89	1.417162	0.000221
1545.65	1.417155	0.00022
1552.43	1.417148	0.000219
1559.25	1.417141	0.000218
1566.09	1.417134	0.000217
1572.97	1.417128	0.000216
1579.87	1.417121	0.000215
1586.81	1.417114	0.000214
1593.77	1.417108	0.000213
1600.77	1.417101	0.000212
1607.8	1.417095	0.000211
1614.85	1.417088	0.00021
1621.94	1.417081	0.000209
1629.06	1.417075	0.000208
1636.21	1.417069	0.000208
1643.4	1.417063	0.000207
1650.61	1.417057	0.000206
1657.86	1.417051	0.000205
1665.14	1.417045	0.000204
1672.45	1.417039	0.000203
1679.79	1.417033	0.000202
1687.16	1.417027	0.000201
1694.57	1.417021	0.0002
1702.01	1.417015	0.0002
1709.48	1.417009	0.000199
1716.98	1.417004	0.000198
1724.52	1.416998	0.000197
1732.09	1.416992	0.000196
1739.69	1.416987	0.000195
1747.33	1.416981	0.000194
1755	1.416975	0.000194
1762.71	1.41697	0.000193
1770.45	1.416965	0.000192
1778.22	1.41696	0.000191
1786.02	1.416955	0.00019
1793.86	1.41695	0.00019
1801.74	1.416944	0.000189
1809.65	1.416939	0.000188
1817.59	1.416934	0.000187
1825.57	1.416929	0.000186
1833.59	1.416924	0.000185
1841.63	1.416919	0.000184
1849.72	1.416914	0.000183
1857.84	1.416909	0.000183
1866	1.416904	0.000182
1874.19	1.4169	0.000181
1882.41	1.416895	0.00018
1890.68	1.41689	0.00018
1898.98	1.416885	0.000179
1907.31	1.416881	0.000178
1915.69	1.416877	0.000178
1924.1	1.416872	0.000177
1932.54	1.416868	0.000176
1941.03	1.416863	0.000175
1949.55	1.416859	0.000174
1958.11	1.416854	0.000173
1966.7	1.41685	0.000173
1975.34	1.416846	0.000172
1984.01	1.416842	0.000171
1992.72	1.416837	0.00017
2001.46	1.416833	0.000169
